Threshold,mV	Mean,Hz	Mean_Error	Sigma	Sigma_Error	N_measurements
0	0.000	0.000	0.000	0.000	0
0	0.000	0.000	0.000	0.000	0
0	0.000	0.000	0.000	0.000	0
0	0.000	0.000	0.000	0.000	0
