Threshold	M1	M2	M3	M4	M5
0	5418202.543	5485517.095	5307397.231	5314391.154	5317616.602
40	158840.190	165617.250	155679.843	149894.232	149483.887
80	213.924	131.498	139.314	164.794	166.781
120	0.000	0.000	0.000	0.000	0.000
